1,2,3
28,6.875,15600
28.25,6.75,15221.67
28.5,6.625,14914.84
28.75,6.5,14674.7
29,6.375,14439.14
29.25,6.25,14208.04
29.5,6.125,13540.23
29.75,6,13648.96
30,5.875,13486.24
30.25,5.75,13219.95
30.5,5.625,12857.14
30.75,5.5,12309.37
31,5.375,12358.08
31.25,5.25,12068.97
31.5,5.125,11694.91
31.75,5,11512.61
32,4.875,11113.4
32.25,4.75,10813.01
32.5,4.625,10480
32.75,4.5,10117.88
33,4.375,9806.58
33.25,4.25,9467.68
33.5,4.125,9212.01
33.75,4,8788.99
34,3.875,8550.72
34.25,3.75,8188.28
34.5,3.625,7870.86
34.75,3.5,7624.78
35,3.375,7414.97
35.25,3.25,7066.67
35.5,3.125,6759.41
35.75,3,6436.6
36,2.875,6125.98
36.25,2.75,5778.12
36.5,2.625,5444.95
36.75,2.5,5147.93
37,2.375,4840.58
37.25,2.25,4524.82
37.5,2.125,4222.22
37.75,2,3894.17
38,1.875,3598.94
38.25,1.75,3264.25
38.5,1.625,2962.03
38.75,1.5,2688.97
39,1.375,2427.18
39.25,1.25,2205.01
39.5,1.125,2075.47
39.75,1,2061.25
40,0.875,2018.78
40.25,0.75,1990.63
40.5,0.625,1976.61
40.75,0.5,1976.61
41,0.375,1962.62
41.25,0.25,1962.62
41.5,0.125,1948.66
41.75,0,1948.66
42,0,1920.84
42.25,0,1934.73
42.5,0,1934.73
42.75,0,1934.73
43,0,